,class,f1,recall,precision
0,WELLNESS,0.41,0.38,0.44
1,POLITICS,0.61,0.49,0.8
2,PARENTS,0.29,0.37,0.24
3,WORLDPOST,0.26,0.31,0.22
4,HOME & LIVING,0.38,0.42,0.34
5,HEALTHY LIVING,0.23,0.25,0.22
6,QUEER VOICES,0.37,0.54,0.28
7,STYLE & BEAUTY,0.58,0.57,0.58
8,WEDDINGS,0.56,0.6,0.53
9,IMPACT,0.0,0.0,0.0
10,FOOD & DRINK,0.46,0.4,0.53
11,COMEDY,0.25,0.27,0.22
12,PARENTING,0.29,0.26,0.32
13,ENTERTAINMENT,0.37,0.31,0.45
14,ENVIRONMENT,0.0,0.0,0.0
15,WORLD NEWS,0.22,0.32,0.16
16,COLLEGE,0.13,0.12,0.14
17,TECH,0.26,0.26,0.26
18,DIVORCE,0.55,0.55,0.55
19,RELIGION,0.14,0.12,0.15
20,THE WORLDPOST,0.24,0.26,0.21
21,WOMEN,0.28,0.29,0.27
22,MONEY,0.33,0.47,0.25
23,ARTS & CULTURE,0.0,0.0,0.0
24,BLACK VOICES,0.26,0.29,0.24
25,TRAVEL,0.43,0.4,0.46
26,GOOD NEWS,0.15,0.13,0.17
27,SCIENCE,0.27,0.3,0.24
28,BUSINESS,0.19,0.14,0.27
29,ARTS,0.0,0.0,0.0
30,SPORTS,0.29,0.58,0.2
31,WEIRD NEWS,0.0,0.0,0.0
32,MEDIA,0.35,0.31,0.39
33,CRIME,0.42,0.38,0.46
34,EDUCATION,0.34,0.38,0.31
35,LATINO VOICES,0.12,0.1,0.17
36,TASTE,0.21,0.24,0.19
37,GREEN,0.1,0.11,0.1
38,STYLE,0.19,0.17,0.23
39,U.S. NEWS,0.12,0.11,0.15
40,CULTURE & ARTS,0.0,0.0,0.0
41,FIFTY,0.05,0.12,0.03
